,header,text
0,A. Executive Summary,"
Amaris AI is developing a virtual assistant (chatbot) for the purpose of replicating the services and responses expected of a human service staff. The virtual assistant could take the form of a backend engine providing conversational responses based on knowledge bases, backend databases or predefined answers. The chatbot has an application layer, if required, to facilitate the conversation sessions.
This document states the scope, assumptions and design for the 3 phases of Telekom Malaysia’s virtual assistant (chatbot) implementation."
1,B.1 Scope Inclusions,"
Natural Language Processing for the purpose of:
Language detection (English, Bahasa Malaysia, Chinese)
Language interpretation (including selected short forms and jargons, to be collectively decided with Telekom Malaysia)
Query response in detected language
Natural Language Understanding which includes:
Entity Extraction (Common entity types and industry / Telekom Malaysia exclusive entity groups and list)
Context retention and utilization in subsequent conversation tiers
Able to understand inputs with certain levels of inaccuracy such as grammatical errors, spelling errors, incomplete sentences etc. (Up to tolerable inaccuracy levels)
Intent classification for inputs, including default fallback for unfulfilled / out of scope questions.
Machine learning / recurrent learning 
Recurrent learning / model correction based on user input interpretation or admin triggered re-tagging / correction
Able to conduct retraining of classification / extraction models through the removal, insertion or correction of input parameters and subsequent retraining
Able to self-learn from user selection for queries with close answers (intents with relatively similar probabilities)
Chat Analytics
Able to conduct data aggregation on various profiles such as user profile, conversation / intent profile, channel profiles
Able to identify / assist in the identification of trends in conversations
Provision of dashboard with filters and report exporting functionality
Query prediction based on various parameters such as user profile, seasonality etc.
Various analytics functions such as unfulfillment tracking, other business requirements.
Will expose necessary API endpoints in the required formats (XML, JSON) and protocol (RESTful, SOAP)
Will support the following browsers for the administrator module:
IE version 8 and above
Mozilla Firefox version 28 and above
Google Chrome version 33 and above
Safari Version 8 and above
Support module for chatbot lifecycle activities
Support speech recognition (speech to text) and text to speech
Support for multiple conversation tier
Able to pass chat session to agent based on user intent or specific conditions
Administrator module for:
Chatbot creation and training
Conversation review, retagging and retraining.
Chatbot configuration and deployment
Simulation and testing module
Analytics and reporting module 
Relevant user access and activities logging"
2,B.2 Scope Exclusions,"
We will need additional clarifications / support for the following scopes
Infrastructure setup, requirements and deployment
Support for mobile browsers
Tool for custom logic creation in task execution
Tool to configure chatbot for special and adhoc events
Integration with Telekom Malaysia Middleware"
3,B. Understanding of Scope of Work,"
The solution aims to provide a virtual assistant to power the chatbot channels currently used for user engagement. The virtual assistant is expected to interpret user intention, extract key entities and provide suitable responses based on the above conditions. The virtual assistant is also expected to convert user input into contextual queries for knowledge bases or backend databases. 
The virtual assistant is also expected to have a administrator module for the management, training and deployment of the chatbot. User access control and logs will be based on Telekom Malaysia’s NetIQ system. "
4,C.1 Assumptions,"
Telekom Malaysia will be providing the following information:
List of special entity types and the corresponding entity list
List of technical jargons and common short forms
Expected data retention period
Infrastructure setup at Telekom Malaysia’s desired server / cloud host will be conducted by Tech Mahindra
Telekom Malaysia will advise on the desired analytics areas and insights, including but not limited to:
Areas of interest in consumer aggregated analytics such as trends based on selected profile parameters etc.
Customer profiling parameters
Basis of sentiment classification
Areas of user engagement to monitor / improve
Interested parameters or areas for user query prediction
Telekom Malaysia will advise on desired reports, fields etc.
Telekom Malaysia will advise on expected API exposure other than those essential for stated chatbot functionalities
Telekom Malaysia will advise on expected user experience in specific modules, if there is. Else in-depth requirements gathering and conceptualization will be done at a later date."
5,C.2 Dependencies,"
Connectivity and access to Telekom Malaysia’s channels / systems / infrastructure for integration development, testing and production deployment
Efficiency in the provision of data / information / access by Telekom Malaysia

"
6,C. General Assumptions,
7,D.1.1.1 Chatbot training and evaluation module,"
This module will provide the user interface to create, update and train the chatbot. The administrator will be able to conduct activities such as intent training, entity labelling, action definition, document upload etc. 
The administrator will also be able to review conversation history and the corresponding classification, replies and actions. Erroneous tagging, extraction or classification can be corrected in this module."
8,D.1.1.2 Simulation and testing module,"
This module will provide the user interface to simulate client conversations with the various versions of the chatbot before / after deployment. The administrator will be able to review the model output parameters, classification and the respective values such as probability etc."
9,D.1.1.3 Chatbot deployment and management module,"
This module will provide the user interface for chatbot version and status control as well as the deployment across various integration channels. Chatbot utilisation statistics will be available as well for convenient review and management."
